year,Andorra,Australia,Austria,"Bahamas, The",Bahrain,Belarus,Belgium,Brunei Darussalam,Canada,Chile,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,"Hong Kong SAR, China",Hungary,Iceland,Ireland,Israel,Italy,Japan,"Korea, Rep.",Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Mauritius,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkiye,United Arab Emirates,United Kingdom,United States,Uruguay
1960,,2413484153,,,,,,,,536608944.1,107517342.9,,,,,,,9218097245,,,429350661.4,,,,,,,,104554786.7,,,,,,,,,,,,,,,,,1147523847,,,,3310997354,,445712828.9,,287474332.6,,,,171350239.9
1961,,2437003024,,,,,,,7215712237,525717060.8,102289846.3,,,,,,,9721651418,,,470520074.7,1149077546,,,,,,,97763303.82,,,,,,,,,,,,,,,,,1089017379,,,,3497752265,,525965885.3,,411111111.1,,,,219799542.8
1962,,2772986897,,,,,,,7439414166,614812442.9,108885580.7,,,,,,,9960806435,,,435291069.5,1263224322,,,,,,,109231189.4,,,,,,,,,,,,,,,,,1141219130,,,,3718924259,,519061302.7,,500000000,,,,193918025.6
1963,,2796505768,,,,,,,8094515611,697065976.8,113065968.9,,,,,,,10957285670,,,534783250.4,1414306396,,,,,,,157692914.2,,,,,,,,,,,,,,,,,1295243695,,,,4032439321,,535813730.2,,433333333.3,,,,185026101.9
1964,,3549109643,,,,,,,9398224064,732786384.7,132494248.2,,,,,,,12309840152,,,510005047.3,1609005531,,,,,,,171618908.8,,,,,,,,,,,,,,,,,1091630733,,,,4573144651,,674951923.1,,500000000,,,,235904694.5
1965,,3428155449,,,,,,,9996446867,800181243.4,133796226.4,,,,,,,13777986225,,,588341197.4,1675916230,,,,,,,222597597.6,,,,,,,,,,,,,,,,,1201130276,,,,4928599649,,739759615.4,,544444444.4,,,,347846451.6
1966,,3525590772,,,,,,,11675300777,1014234414,160407547.2,,,,3345823849,,,14959146279,,,803143173.5,1889960077,,,,,,,331687182.1,,,,,,,,,,,,,,,,,1351659480,,,,5255843904,,929903846.2,,577777777.8,,,,309880742.3
1967,,3915332064,,,,,,,13131449205,985193067.1,174037735.8,,,,3491604729,,,16048630242,,,834337698.9,2170856894,,,,,,,442481147.4,,,,,,,,,,,,,,,,,1415000653,,,,5621078613,,1024038462,,644444444.4,,,,233417808.3
1968,,4016127226,,,,,,,15002668948,981819346,214867924.5,,,,3642678800,,,17593837376,,,806033869.2,2451069005,,,,,,,620639797.6,,,,,,,,,,,,,,,1998980667,,1791552332,,,,6093514012,,1030048077,,644444444.4,,,,241962614.4
1969,,4377869862,,,,,,,16551276495,1347031542,227033962.3,,,,4118477067,,,20287923379,,,893899660.6,3029243797,,,,,,,814825097.2,,,,,,,13972084310,,,,,,,,2161704511,,2193159545,,,,7011678685,,1075384615,,700000000,,,,268548387.1
1970,,5354462986,4210936227,,,,12006111335,,19265001436,1310155209,274128301.9,,,,4636162800,,2711046149,23725050195,,32653136322,1035806818,3541855148,,233403409.1,1454713665,1533333333,17194739777,22026785842,1030074704,,,,1308913271,110771069.4,,16465200584,1434702654,4674151955,,1549504881,,,,2731714667,,2420456030,,,4972693130,8362522810,10331372056,1064423077,,756521739.1,,28833772498,59709000000,296774193.5
