year,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bangladesh,Barbados,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Dominica,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Fiji,Gabon,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Maldives,Mali,Marshall Islands,Mauritania,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda
1960,,1063377266,,,,,,,427347691.4,,,13852022.33,,60602013.39,,7991027.618,1069822094,,16066015.59,24499998,88571428.57,,26101663.53,41987616.39,536608944.1,2571289301,632672494.3,,,172100000,197583745.9,,,,,,48341345.73,343137254.9,,131900000,,,82949308.76,,71800000,1652701653,,,232379252.4,,,246049901.4,,,,4059918.802,,,67511336.64,,1016921469,,,,,1109120000,,,,480189724.3,,,,,52948278.33,31918254.3,387783144.3,,269004619.9,,245950200,,,519800925.4,,,,,14800000
1961,,1125928865,,,,,,,519448521,,,10801828.34,,66695604.27,,8954806.212,1109152823,,19014523.36,26250000,82857142.86,,32618432.43,46459419.61,525717060.8,1937606629,589865537.3,,,152100000,157101028.7,,,,,,52322629.32,340336134.5,,128700000,,,96774193.55,,79500000,1688401688,,,249069438.6,,,259433896,,,,4479910.402,,,102110849.3,,921860708.2,,,,18098328.74,1191208000,,,,440667938,,,,,56287344.71,39451761.21,410318073.6,,255984880.3,,282659200,39424005.64,,603360551,,,,,14000000
1962,,396160175,,,1147183934,,,,546086853.3,,,8317361.995,,67363395.05,,9953736.156,770900519.7,,20997585.85,28000000,91428571.43,,30610513.53,50177660.43,614812442.9,1913234219,605741204.4,,,196700000,155487287,,,,,,57972564.24,334733893.6,,134800000,,,110424079.8,,87200000,1757701758,,,256772644.5,,,278123874.5,,,,6019879.602,,,101689130.7,,921534038.9,,,,18926393.57,1302504000,,,,428811402,,,,,70120699.33,49364155.67,405957160.9,,288744225.1,,346803300,42336006.06,,656247003.6,,,,,11600000
1963,,667217111.3,,,1441753550,,,,531067333.1,,,9703490.052,,81303527.6,,11044317.07,2080325262,,21985463.42,17500000,125714285.7,,32650875.61,48137413.96,697065976.8,2031034203,579510844.4,,,195000000,168447595.4,,,,,,72764821.81,326330532.2,,180400000,,,110599078.3,,90600000,2072702073,,,282449951,,,296813881,,,,6999860.003,,,97047803.66,,1147589181,,,,33594349.06,1411096000,,,,476237545.7,,,,,84431029.52,54590784.54,453486910.3,,378622427.6,,380614200,48048006.88,,664271400.9,,,,,7600000
1964,,729768730.6,,,1424603255,,,,540135770.2,,,13861514.15,,109517688.1,,11989404.71,1354466135,,11484229.91,36750000,117142857.1,,40403674.37,53846256.49,732786384.7,2250385896,714265144.4,,,202000000,199730280.6,,,,,,90352324.31,344537815.1,,199900000,,,111240739.7,,102700000,2104202104,,,300424051.5,,,333479880.3,,,,7979840.403,,,106752579.4,,1178949432,,,,77479927.83,1532720000,,,,545400592.8,,,,,98741388.05,54007613.44,510977880.4,,401931961.4,,407276600,55888008,,806583272.4,,,,,15600000
1965,,708918190.8,,,1764705803,,,,570741539.8,,,21069299.1,,129713804.7,,14519056.26,1685625122,,19676614.67,16452740.74,100000000,193421264.7,40806179.2,56286114.08,800181243.4,2563165164,699047619,,,144800000,214348750.2,231600000,,,,,97934826.2,351540616.2,,223500000,,,117823529.4,,138700000,1969760605,,,323533529.3,,,313319874.4,,1419770372,,8539829.203,,,110127942.4,,1327257285,,,,85405353.59,1667320000,,,,535520205.5,,,,57094106.84,166000000.1,63869431.64,639927201.5,,418311633.8,,464078900,62045021.84,66349206.35,809681070,,,,,18000000
1966,,789937412.7,,,1904761830,,,,662275557,,,20739915.27,,142255892.3,,15062761.51,1846958712,,21918946.48,17828571.43,71428571.43,178688846.9,44773980.94,60213093.62,1014234414,2680965147,541851851.9,,,160800000,254730107.4,229240000,,,,,97688671.16,310924369.7,,263400000,,,125764705.9,,157400000,1900000000,,,410751785,,,377439848.7,,1570988519,,6159876.802,,,155698196.7,,1336404025,,,,90846106.32,1816952000,,,,545400652.1,,,,51187819.92,164499996,87454937.84,663026739.5,,453170936.6,,518176300,65628849.82,61714285.71,951468505,,,,,14045713.14
1967,,789937412.7,,,1818181858,,,,675028035.7,,,23474433.63,,170033670,,14435146.44,1764834055,,22215438.64,19257142.86,85714285.71,193088729.8,43089273.25,64603586.24,985193067.1,2388496222,653146477.1,,,187100000,258096721.2,250280000,,,,,130487348.1,304297328.7,,235600000,,,143705882.4,,170600000,2022666667,497382748.7,,413835956.9,,,350839859.4,,1453374405,,7139857.203,,,167512782.7,,1306350451,,31300692.47,,93211758.39,1824072000,,,,545400652.1,,,,57881611.76,173899999.7,56105891.08,576368472.6,36177851.42,516589668.2,,582900100,76716317.62,60198412.7,956929459.5,,,,,16773000
1968,,891211439.9,,,1714285705,,,,623451537.7,,,30461094.82,,169696969.7,,15271966.53,2032731103,,28569262.5,18861714.29,91428571.43,231454649.2,65799813.95,67829222.52,981819346,2339751401,701707004.2,,,199500000,285128679.3,255960000,,,,,142588991.4,339265245.6,,269500000,,,133800000,,196700000,2144000000,769173673.3,,399255970.2,,,397879840.5,,1643797256,,7419851.603,,,183124855.5,,1439631517,,35142330.55,,93804950.58,2066336000,,,,604683331.7,,,,52859926.58,185699995.1,51153495.63,516309673.8,132469402.4,605837883.2,,637577200,91499608.02,63952380.95,1038733473,,,,,15049999
1969,,1012740273,,,2000000041,,,,690047514.3,,,38939712.02,,189814814.8,,17615930.93,2479930322,,27823651.74,18371428.57,68075117.37,257346646,51399881.37,62287914.78,1347031542,2429116906,808812068.1,,,227400000,264625851,243320000,,,,,173872519.4,387311479.8,,305400000,,,147700000,,186900000,2170666667,751533742.3,,437897515.9,,,430639827.4,,1758611033,,8959820.804,,,191304704.7,,1730367176,,38082698.98,,90845237.01,2451096000,,,,671079932.8,,,,55308641.98,182400005.2,58566567.01,755704885.9,179025677.9,601007979.8,,701141700,104266995.2,75531746.03,1121418743,,,,,14489999
