year,Andorra,Australia,Austria,"Bahamas, The",Bahrain,Belarus,Belgium,Brunei Darussalam,Canada,Chile,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,"Hong Kong SAR, China",Hungary,Iceland,Ireland,Israel,Italy,Japan,"Korea, Rep.",Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Mauritius,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkiye,United Arab Emirates,United Kingdom,United States,Uruguay
1960,,18605666928,6592693841,169803921.6,,,11658722591,,40461721693,4110000000,507513830,,,,,,5224102196,62225478001,,,4335186017,1320796652,,248434097,1939329775,2598500000,40385288344,44307342950,3958824424,,,,703925705.9,,,12276734172,5485854792,5163271598,,3193200404,,,,,,704756304.7,,,12072126075,15822585034,9522746719,2760747472,535670127.7,13983572895,,73233967692,5.433E+11,1242289239
1961,,19681935267,7311749633,190098039.2,,,12400145222,,40934952064,4609727273,490325181.6,,,,,,5921659485,67461644222,,,4961400439,1383681651,,253885656.3,2088012282,3138500000,44842760293,53508617739,2417638423,,,,704145671.4,,,13493833740,5670064168,5632460937,,3417516639,,,,,,764634783.7,,,13834300571,17212686615,10712712465,3034043574,584961208.7,7988888889,,77741965703,5.633E+11,1547388781
1962,,19921603763,7756110210,212254902,,,13264015675,,42227447632,5416272727,479180824.3,,,,,,6340580854,75607529810,,,5213047711,1612346412,,284916516.2,2260349684,2510000000,50383891899,60723018684,2814626210,,,,741509480.8,,,14647057370,6077496268,6066976683,,3668222358,,,,,,826244610,,,16138545209,18667251380,11879982759,3308912797,619319197.3,8922222222,,81247564157,6.051E+11,1710004407
1963,,21538806137,8374175258,237745098,,,14260017387,,45029988561,5668187500,511902136.8,,,,,,6885920329,84759195106,,,5895278024,1935298266,,340061650.1,2430843768,2992333333,57710743060,69498131797,3988476879,,,,791140595.8,,,15891241386,6638937283,6510239503,,3905734460,,,,,,917614007.6,,,19074913948,20204870630,13063643796,3540403457,678235373,10355555556,,86561961812,6.386E+11,1539681491
1964,,23799977601,9169983886,266666666.7,,,15960106681,,49377522897,5982347826,542578367.2,,,,,,7766655086,94007851047,,,6669673257,2206466461,,434267936.9,2766608946,3405333333,63175417019,81749006382,3459032883,,,,903158753.9,,,18699380731,7274144351,7159202706,,4235608178,,,,,,894159153.3,,,21343844644,22532416750,14480556572,3889129942,711893367.6,11177777778,,94407558351,6.858E+11,1975701816
1965,,25974913204,9994070616,300392156.9,,,17371457608,114040245.7,54515179581,6026593750,592981162.3,,,,,,8589340019,1.01537E+11,,,7689154053,2435078534,,523694949.4,2945704143,3663333333,67978153851,90950278258,3120870871,,,,921600736.3,,,21000586933,5654463586,8058681060,,4687464055,,,,,,974650463.9,,,24756958695,24795499686,15346741670,4388937649,736568861.9,11966666667,,1.01825E+11,7.437E+11,1890769326
1966,,27306529287,10887682273,340000000,,,18651883472,132758395.4,61088384037,7072641026,647305630.2,,,,11931739859,,9208524505,1.10046E+11,,,8591517944,2489845017,,628893310.4,3104034393,3980000000,73654870011,1.05628E+11,3929018943,,,,968440149.5,,,22867203317,5863733231,8696460205,,5135387846,,,,,,1096432771,,,28721062242,26971486546,16480058705,5279230817,723735635.5,14100000000,,1.08573E+11,8.15E+11,1809183975
1967,,30441258820,11579431669,390196078.4,,,19992040788,139030445.6,65668655501,7013196078,699456618.9,,,,13059064375,,9368954010,1.18973E+11,,,9275600800,2692474989,,621225962.2,3343636773,4030000000,81133120065,1.23782E+11,4855833210,,,,974721762.5,,,25087562181,5961418094,9514496703,,5740241166,,,,,,1238043904,,,31647119228,29275995675,17740013179,5638461442,761981474,15644444444,,1.13117E+11,8.617E+11,1597721080
1968,,32712509800,12440625313,444901960.8,,,21376353113,160819286.6,71829810520,7167086957,773841494.3,,,,13505573867,,8823033880,1.29785E+11,,,10090675903,2716964388,,474399471.6,3278584478,4619000000,87942231678,1.46601E+11,6119284294,,,,1066447131,,,27817605743,5180597621,10159934137,,6354262628,,,,4187777711,,1425715406,,,31475548481,31066819929,18942729779,6081009428,758899950,17500000000,,1.0776E+11,9.425E+11,1593675330
1969,,36681599283,13582798556,528137254.9,,,23710735895,161211289.7,79148411662,8377093023,853630203.8,,,,15414902267,,10070766721,1.41903E+11,,,11615657031,3189740055,,414709311.4,3787077344,5329333333,97085082807,1.72204E+11,7678720155,,,,1234878981,,,34035946604,5761588762,11063065083,,6969025826,,,,4485777644,,1659904613,,,36038711600,33738102482,20524886616,6695336567,779200000,19466666667,,1.16465E+11,1.0199E+12,2004435484
1970,78619206.09,41331616082,15373005557,538423153.7,,,26706196047,179080099.3,87896095320,9126309735,984830158.5,,,,17075457600,,11357516988,1.48456E+11,,2.15838E+11,13139863636,3800766536,,526704545.5,4395995086,,1.13395E+11,2.12609E+11,9005023184,,90098330.67,,1457768455,250721821.6,,38164716625,,12814123115,,8108235704,,,,5377268848,,1920586698,,,40992995008,38092452061,,7086538438,821850000,17086956522,,1.30672E+11,1.0733E+12,2137096774
1971,89409820.36,45214469705,17858486067,573400000,,,29821661870,197523179.2,99271961775,10884114754,1077152902,,,,19085731252,,12527405513,1.65967E+11,,2.49985E+11,14591750000,4476001946,,670251136.4,5098250287,,1.24672E+11,2.40152E+11,9903499928,,104888628.2,,1518773421,264579879.8,,44579122807,7911136757,14583114840,,9201604240,,,,7184863276,,2263785444,,,46619420359,41566412923,,7375000024,896754316.7,16275167785,,1.48114E+11,1.16485E+12,2807258065
1972,113408231.9,52042056075,22059612477,590900000,,,37209418019,270818555.8,1.13083E+11,11853817308,1238251696,,,,23232379952,,14743186120,2.03494E+11,,2.99802E+11,16885511364,5710107420,,839652164.1,6318060582,,1.4526E+11,3.18031E+11,10862327878,,124941925,,1901697370,295118249.3,,54706557264,9567331065,17358610850,,11239117865,,,,9664067930,,2721440981,,,59132415221,48954145809,,8177884553,1083381044,20359154930,,1.69965E+11,1.27911E+12,2189418001
1973,150820102.8,63832158873,29515467707,670900000,,,47743801490,433092003.6,1.31322E+11,16836261173,1528916185,,,,30730626663,,19472363467,2.6443E+11,,3.98374E+11,22347848101,8030117556,,1154440253,7481173066,,1.75492E+11,4.32083E+11,13876531432,,165930611.7,,2609875802,345602025.4,,71840909664,12802281898,22534253703,,15090564186,,,,14947491056,,3696213333,,,78639525985,59404966684,,10838587358,1308799459,25633802817,,1.92538E+11,1.42538E+12,3964295673
1974,186558696.3,88963890936,35189299912,632400000,,,56033077879,1073577086,1.60409E+11,16210404184,1666544754,,,,34160444798,,24848821490,2.85552E+11,,4.45303E+11,25351306818,9388663646,,1515190595,7896860615,,1.99564E+11,4.79626E+11,19544094741,,193983720.5,,3183637117,376094108.5,,87243413395,13940981798,27145693810,,17512391476,,,,45412971910,,5221534956,,,97274006346,66013338965,,13703000530,2042031901,35669064748,,2.06131E+11,1.54524E+12,4090209682
1975,220127246.4,97304383449,40059206763,596200000,,,65678189097,1168304306,1.73834E+11,7622217352,1960863466,,489914760.7,,40474406216,,29472623242,3.60832E+11,,4.90637E+11,28525876727,10048022370,,1406875081,9483808362,,2.27696E+11,5.21542E+11,21784297521,,246387479.2,,3123333333,474620439.6,,1.0025E+11,12861983284,32877805200,,19347607843,,,,46773303721,,5633673930,,,1.14777E+11,82885397621,,14882747955,2442667573,44763888889,14720672507,2.41757E+11,1.6849E+12,3538283322
1976,227281024.6,1.05066E+11,42959976222,642100000,,,71113882968,1423061357,2.06576E+11,10341925249,2412555426,,576090073.7,,44575892473,,31849513771,3.72319E+11,,5.19754E+11,31152835821,12876366009,,1669488390,9453756015,,2.24717E+11,5.86162E+11,29902479339,,272493879,,3423586207,527936988.8,704033525.4,1.09169E+11,13604832424,35942270686,,20332831565,,,,64005623870,,6327077974,,,1.18507E+11,89362071673,,16985211146,2500410584,51130434783,19213022691,2.32615E+11,1.87341E+12,3667161241
