year,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bangladesh,Barbados,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Dominica,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Fiji,Gabon,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Maldives,Mali,Marshall Islands,Mauritania,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda
1960,,2723593385,,,,,,,4274893913,,28071888.56,226195579.4,,373879363.6,,30412308.99,17030465539,,330442817.2,195999990,637142865.7,614206071,112155598.9,313582729.4,4110000000,59716467625,4031152977,,,672399700,2069465326,,,,,112328422.1,141468978.4,1217086835,,1043599900,,,170215248.2,273187200,335650000,37029883876,,1684121535,699050679,,,791265458.8,,,,34579308.41,,,673081724.1,162956740.9,1916241997,,,,,13040000000,,,,2037150716,,,,508334414,223854666.7,449526872.6,4196092258,,3749265015,,537147100,230496033,,2571908062,7515886651,,,,119000024
1961,,2434727330,,,,,,,4817580184,,29964370.71,235668222.4,,406684585.7,,32902336.64,17275940449,,350247237.1,202999992,642857134.3,652777613.6,123134584.5,333975338.8,4609727273,50056868958,4540447761,,,654100200,1753850417,,,,,116987784.9,167637908.5,1302521008,,1076699900,,,185848451.3,271066000,356200000,39232435784,,1831700364,748028839.4,,,792959472.1,,,,35699286.01,,,699161943.9,174576508.5,1901868548,,,,159213140,14160000000,,,,2025689537,,584351384.5,,531959561.6,240524723.4,485785234.9,4467200336,,4118647627,,599026300,244832035,,2899654840,8171186335,,,,122000016
1962,,2001428328,,,24450604878,,,,5081413340,,31856922.86,236434906.8,,444665186.4,,35643207.63,19231747852,,379567023.3,213500006,660000008.6,694247725.5,124482748.9,357635713.9,5416272727,47209359006,4955543963,,,824100000,1518208221,,9122751.453,,,122906435,182796536.5,1382352941,,1143600000,,,194948375.4,281896800,387750000,42161481858,,1954634836,777712445.8,,,868111400,,,,41859162.82,,,739286906.9,183116337.7,2001502679,,,,164271590.8,15200000000,,,,2379606422,,612517344.8,,574091101.2,265291588.7,531736492.9,4909302954,,4310163797,,652120900,261184037.4,,3286773188,4954529277,,,,125000008
1963,,2702960118,,,18272123664,,,,5319458351,,33749405.01,253927646.5,,478805990.1,,38091150.57,23287712878,,394040588.3,232749998,728571437.1,718320701.4,129379097.9,371767002.7,5668187500,50706799903,4836166667,,,940799900,1824344492,,10840095.13,,,129454728.6,154480244.2,1540616246,,1262800000,,,175756868.7,294883400,410200000,48421923459,,1978437693,826690466.2,,,926589348.6,,,,47039059.22,,,759345863,190816183.7,2510126748,,,,168186331.3,16960000000,,,,2657247327,,659976659.6,,496947904.4,292916241.1,586294761.5,5165489010,,4630827383,,722784500,275968039.5,,3600957771,5505055618,,,,128000000
1964,,2909292864,,,25605249382,,,,5386054619,,36193826.12,269818988.3,,539491477.3,,41613969.05,20963733695,,410321618.2,260750008,782857128.6,776650126.2,142025069.5,392247517.6,5982347826,59708343489,5973366667,,,1025599900,2244146868,,12712471.4,,,140032741.5,215679855.3,1731092437,,1299099900,,,194773376.9,325281200,457000000,56480289941,,2340521143,897931401.4,,,998759333.6,,,,51938961.22,,,802482182.9,194736105.3,2674441396,,,,224495789.3,20080000000,,,,2798339769,,475197381.9,,496098775.3,341973758.9,582816358.3,5552822484,,5204955901,,776137500,305312043.7,,4356913870,5953766854,,,,129999994
1965,,3136258897,,,28344705967,,,,5906636557,,40069930.07,289908720.6,,604377104.4,,45790869.75,22465522884,,422916848.4,158994963,868571428.6,814083378.5,150574816.3,416926303,6026593750,70436266147,5760761905,,,888100000,2387048255,877720000,64748333.33,,,147084750,226474285.6,2053221289,,1331399900,,,213235294.1,353251800,508650000,59554854576,,,972140557.2,599831979.8,,997919320,,2097451694,,54878902.42,,,833563472.2,229455410.9,2956356984,,,,255340526.7,21840000000,,,,2948325264,,402619413.6,,735267082.3,566542872.4,673383604.2,5874422512,63287594.51,5929231415,,852485300,344159480.3,443587301.6,5166861068,6517304758,,,,148799980
1966,,3039834559,,,28630474728,,,,6439687598,,44405594.41,302925280.8,,669191919.2,,51464435.15,28283323733,,433889831.6,165444571.4,914285714.3,851112662.7,157930041.9,432794922.5,7072641026,76720285970,5428518519,,,983900000,2429309514,929520000,69110000,,,150603925.5,245849781.7,2126050420,,1390700000,,,228705882.4,368948600,549950000,45865462034,,,1096738065,658078969.5,,1164519673,,2391486978,,56698866.02,,,900264583.7,260394792.1,3143538482,,,,266533659.2,24320000000,,,,2876395613,,317816210,,906811943.8,606671444,702296184.4,6366792664,67768132.18,6561108778,,928833000,390973233.3,465888888.9,6113607728,7189017888,,,,124525702.9
1967,,3370843066,,,24256667553,,,,7253575399,,47379310.34,306222000.4,,755808080.8,,58646443.51,31086389195,,450753993.2,178297142.9,962857134.3,936175404.6,163820538.9,449826323,7013196078,72881631327,5825170438,,,1034800000,2553596092,976200000,72317446.93,,,162625885.9,271543680.3,1746806039,,1453500000,,,250176470.6,369124200,598100000,50134942204,5667756645,,1148025407,631755810.7,,1232559506,,2441893027,,59260814.78,,,956436931.2,269814968.2,3188945512,,275494477.8,,282615367.5,26560000000,,,,3046339295,,328182434.5,,841974025.5,657171436.7,665586975.1,5203135937,107152720.2,7464510710,,1034376400,441706910.1,492674603.2,6204253759,7724873935,,,,159560018
1968,,3852115817,,,26436857247,,,,7483685474,,44910179.64,326323097.4,,857912457.9,,66248256.62,33930457425,,460442678.2,183200000,1065714249,1046191192,191767437,453980096.6,7167086957,70846535056,5960212869,,,1079100000,2582180794,1009760100,67514285.71,,,166952937.1,294468564.5,1666910166,,1610500000,,,229750000,367968800,646800000,53085455871,7076465295,2896947634,1083883355,561187342.5,,1353295458,,2663119574,,61444771.1,,,1031669636,245169806.8,3330393310,,343771973.3,,311396000.3,29360000000,,,,3271415868,,531186357.4,,772228643.4,695899980.4,641214210.7,5200895982,188864890.8,8041999160,,1112791100,485160824.3,517650793.7,5736083835,8632749269,,,,172200018
1969,,4257218772,,,31256284544,,,,8471006101,,47305389.22,330748211.5,,929629629.6,,77356914.08,37171640819,,478298597.6,190205714.3,978873232.4,1100551379,188039191.3,471635620.9,8377093023,79705906247,6450175214,,,1230500000,3112166848,1049400000,67225714.29,,,182182067.7,318124701.1,1962051319,,1715399900,,,249300000,391820400,668000050,58447995017,8337423313,3008120975,1191287652,698963875.7,,1458379415,,2769532344,,65966680.67,,,1056391055,265810632.4,3664575983,,339913866.6,,295062138.1,32480000000,,,,3651615453,,551379225.9,,788641965.4,747971449.6,625867922.7,6634187316,239980801.5,8683116338,,1221305700,551237316.6,556293650.8,6420909790,9571800653,,,,188700037
