year,Andorra,Australia,Austria,"Bahamas, The",Bahrain,Belarus,Belgium,Brunei Darussalam,Canada,Chile,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,"Hong Kong SAR, China",Hungary,Iceland,Ireland,Israel,Italy,Japan,"Korea, Rep.",Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Mauritius,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkiye,United Arab Emirates,United Kingdom,United States,Uruguay
1960,,2611714638,,,,,,,,650749016.1,132338590.9,,,,,,,7703448807,,,631632347.3,,,,,,,,473664867.1,,,,,,,,,,,,,,,,,1243760617,,,,3412118648,,480790112.3,,513347022.6,,,,231322823.9
1961,,2952178295,,,,,,,7480255449,715645411.3,122861638.4,,,,,,,8273434930,,,700605823.6,1254129700,,,,,,,337363532,,,,,,,,,,,,,,,,,1200313603,,,,3435935929,,519127759,,544444444.4,,,,228591524.5
1962,,2512039422,,,,,,,7594733340,693171652.5,124825190.6,,,,,,,9042716900,,,769366899.1,1397230781,,,,,,,439232458.6,,,,,,,,,,,,,,,,,1227165817,,,,3674889647,,584003831.4,,711111111.1,,,,246804759.8
1963,,2974577220,,,,,,,7854369043,837155008.1,138870092.2,,,,,,,10367369963,,,900360280.3,1552024945,,,,,,,584617633.1,,,,,,,,,,,,,,,,,1428982099,,,,4001303567,,650552088.3,,722222222.2,,,,185026101.9
1964,,3270243028,,,,,,,8918902585,791274033.8,155005187.9,,,,,,,12137117085,,,1115046401,1778091243,,,,,,,428345832.2,,,,,,,,,,,,,,,,,1188749510,,,,4539339897,,730192307.7,,611111111.1,,,,224109459.8
1965,,3959009968,,,,,,,10166208353,762605297.2,196800000,,,,,,,12575567948,,,1308623061,1759685864,,,,,,,447072072.1,,,,,,,,,,,,,,,,,1308996472,,,,5144142720,,792692307.7,,644444444.4,,,,216973529.2
1966,,4124762011,,,,,,,11787616836,948058867.4,199200000,,,,3533468959,,,14294826788,,,1342050635,1977998989,,,,,,,715707230.8,,,,,,,,,,,,,,,,,1430844113,,,,5445177562,,947403846.2,,800000000,,,,207824210.4
1967,,4222197335,,,,,,,12634558505,905155989,218369811.3,,,,3762160847,,,15606193462,,,1412506373,2045585037,,,,,,,955567056,,,,,,,,,,,,,,,,,1505978048,,,,5655628630,,1139615385,,777777777.8,,,,210552390.4
1968,,4730652929,,,,,,,14340936627,938779738.8,251154717,,,,3829653733,,,17377269223,,,1579116079,2304810110,,,,,,,1385143683,,,,,,,,,,,,,,,1035019956,,1869691624,,,,6170823804,,1257644231,,888888888.9,,,,194518964.5
1969,,4882965618,,,,,,,16708226654,1178165030,272754717,,,,4438459867,,,20853686819,,,1811909654,2747800972,,,,,,,1724042199,,,,,,,13576226090,,,,,,,,1118868489,,2349960800,,,,7153189117,,1343125000,,922222222.2,,,,243145161.3
1970,,5455258148,4222754697,,,,11422513917,,17327973969,1274882355,340543396.2,,,,5119854667,,2901994621,22918389040,,35790765243,2000806818,3249058280,,225194318.2,1817051597,2800000000,16935941760,19572635781,1902047913,,,,1035732150,178912116.2,,16526937359,1628844215,4753951476,,1954344491,,,,1159604444,,2785476284,,,5612317566,8511452486,10356167848,1373509615,,1086956522,,27387751380,55760000000,325000000
1971,,5839399709,4883423835,,,,12470410328,,19613784908,1310730653,399680038.6,,,,5506203762,,3116111111,25770095892,,40706506441,2212454545,3811504974,,290564772.7,2033167880,2580000000,18471501248,20867004112,2279130059,,,,1202551383,182399240.7,,18708263784,1716099250,5441403648,,2302600707,,,,1287311447,,3165523324,,,6005008383,8730027117,11794759912,1387451923,,1342281879,,30395461183,62342000000,320967741.9
1972,,6220794393,6036690874,,,,15284572450,,23413476109,1560151046,453262999.2,,,,6229703999,,3558591913,32248374512,,48506788321,2733386364,4365051228,,305401087.7,2318300551,3042500000,22528788181,25436329222,2329150653,,,,1369284209,199083145.8,,21515225213,2047885270,5935763942,,2797946627,,,,1765751062,,3328711443,,,8184905514,10058020536,13969136753,1568846154,,1739436620,,35223461538,74216000000,326095556.7
1973,,7022421525,8127807998,,,,22015693438,,28460153985,2590758339,563760004.8,,,,9178240681,,4849296717,44639068945,,65125982437,4490322209,6352472554,,429005880.4,3083459386,5057500000,31517004318,41807597571,3837366941,,,,1875419168,262352694.7,,29272028220,3054125504,8516077561,,3968323794,,,,3126406140,,4708693333,,,11627327242,13262272571,19078913991,2172743954,,2330985915,,47659216071,91159000000,376829753.5
1974,,11737656595,10716325088,,,,29348848384,186302269.3,38774028630,3129223815,801954602.8,,,,11616217493,,7338853001,62037643208,,83342709546,5389988636,7683838143,,615641820.9,4151309151,6822500000,44460726407,66503972919,6508270082,,,,2431846520,380157924,,39830685302,4590457805,11547556727,,5759928966,,,,5995623662,,8589077887,,,18006241708,19719197189,23664489645,3282634196,,4021582734,,65189036933,1.27465E+11,690867043.6
1975,,14315171378,11418675832,,,,29954319403,273689537.4,41679119151,2025346736,755869311.6,,277745397.7,,12275876057,,8310974624,64439345265,,92221047778,6042157279,7818122872,,578989590.1,4251090592,7091666667,42506699288,64302596002,6824793388,,,,2582040145,409750864.7,,43065322412,3862660944,13770877576,,4943349020,,,,10165117410,,8250441134,,,19179420290,21285589567,22473755085,3419302920,,5027777778,,65463765487,1.2273E+11,717496410.7
