year,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bangladesh,Barbados,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Dominica,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Fiji,Gabon,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Maldives,Mali,Marshall Islands,Mauritania,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda
1960,,1828719511,,,,,,,397875421.7,,,27392931.59,,89483964.67,,12056638.16,1078651437,,52340174.82,26250000,139999991.4,,38336816.27,53426872.72,650749016.1,2644406532,594894694.8,,,126500000,214480876.3,,,,,,46157379.98,431372549,,151700000,,,96949192.09,,77300000,2530502531,,,265994680.1,,,266419907.2,,,,13299734.01,,,111896638.8,,752319351.9,,,,,1520944000,,,,462404900.7,,,,,58580562.48,33289006.81,710187876.2,,495590088.2,,292100100,,,521341086.3,,,,,12000000
1961,,1643532762,,,,,,,563656831.8,,,22470098.07,,94909764.77,,13991884.71,1118302726,,55303956.09,29750000,120000000,,44034883.78,61975055.05,715645411.3,1746689414,627934716.4,,,106900000,178045025.4,,,,,,53078875.85,474789916,,145300000,,,98465846.12,,78100000,2337302337,,,261794764.1,,,246847901.1,,,,16239675.21,,,136359934.7,,790866326.9,,,,29741422.17,1503120000,,,,501926687.1,,,,,59056821.33,47147122.59,728148397,,577278454.4,,321486400,68880009.86,,643728455.5,,,,,12000000
1962,,416670292.3,,,2294367227,,,,549204082.3,,,23547272.22,,113858328.2,,15982055.24,1033970196,,59614662.68,35000000,151428562.9,,46936105.26,70200150.53,693171652.5,1372979121,605929809.3,,,199300000,163881310.7,,,,,,56243568.93,393557423,,153500000,,,87499270.84,,85600000,2543102543,,,271594568.1,,,261519895.2,,,,20019599.61,,,135907021.5,,863386907.1,,,,35270349.64,1536528000,,,,501926687.1,,,,,76678615.24,68848135.96,665719165.6,,620327593.4,,372814600,72912010.43,,721773033.7,,,,,16000000
1963,,995378987.7,,,1441753153,,,,620050850.4,,,29521371.22,,126128983.8,,18034391.16,2097486801,,61742256.03,33250000,151428562.9,,49792587.35,71423855.8,837155008.1,1450158421,597285655.6,,,244400000,181649533.1,,,,,,70124240.08,422969187.7,,201200000,,,81082657.64,,101400000,2860202860,,,281394372.1,,,268365892.4,,,,23939521.21,,,151309643.6,,1104142166,,,,34317095.89,1688128000,,,,533544116.2,,,,,88585217.81,60518929.75,699267534.6,,732255354.9,,434329900,85456012.23,,777062373.4,,,,,16200002
1964,,856488910.5,,,1424602864,,,,760610844.8,,,33034384.35,,126629826.9,,20214693.99,1204326396,,47262647.17,31500002,122857151.4,,57952747.69,83664248.02,791274033.8,1710130799,755727700,,,287500000,227656539.8,,,,,,77540103.44,413165266.1,,235000000,,,104240798,,113100000,3210903211,,,349993000.1,,,291759883,,,,25759484.81,,,159917394,,1132562394,,,,35079696.41,1978568000,,,,535520225.3,,,,,104301947.9,82169184.48,855867282.7,,801763964.7,,441970400,104720015,,819077847.6,,,,,16400000
1965,,810192218.1,,,1176470539,,,,789516322.8,,,43212954.82,,161279461.3,,23174647.49,1210637974,,48113645.22,19928888.89,108571428.6,197501889.5,56720594.76,74267243.2,762605297.2,2246323828,559333333.3,,,180000000,245638749.4,252880000,,,,,84468787.6,549019607.8,,261100000,,,122941176.5,,136400000,3103737925,,,358392832.1,,,306319877.2,,484458135,,29259414.81,,,166712685.1,,1194956226,,,,38130106.77,2079752000,,,,497974508.4,,,,102375639.8,183599995.7,94378540.19,940921181.6,,1007139857,,496433000,130697726.5,69873015.87,981343255.1,,,,,25200000
1966,,749427801.7,,,1428571371,,,,814737821.8,,,49061969.22,,177188552.2,,26220362.62,1621508461,,50541606.43,21494857.14,117142857.1,200668845.1,67160971.42,77743900.8,948058867.4,2481923796,778814814.8,,,249300000,270002428.4,276800000,,,,,97281594.33,417366946.8,,266100000,,,137588235.3,,165400000,3060000000,,,393392132.2,,,359519855.9,,582469896.4,,32059358.81,,,208843979.8,,1212269698,,,,38756006.87,2192168000,,,,557257188,,,,79406746.29,206999991.6,112969634.3,930981380.4,,806173876.5,,560299300,156904468.6,75206349.21,1171641777,,,,,24902858.29
1967,,729172996.3,,,1212121237,,,,913639901.2,,,60547029.3,,196632996.6,,29776847.98,1764834055,,62777892.68,21192000,97142857.14,211381332.3,76828946.56,81707046.24,905155989,2169144528,602411299.6,,,258800000,307238277.7,279760000,,,,,130487348.1,348432055.7,,283600000,,,149588235.3,,182700000,2981333333,955991035.9,,422535211.3,,,362039854.9,,694483338,,33599328.01,,,205672790.9,,1228603162,,65853405.46,,45475873.75,2392912000,,,,614563778.3,,,,58537865.86,230300000.7,95676923.54,905921881.6,24026512.01,1013229735,,603791100,175047597.7,76992063.49,1251655604,,,,,24593001
1968,,931721050.8,,,1428571475,,,,868581340.5,,,62251308.85,,206228956.2,,41701534.17,2239326015,,70389671.06,24488000,114285714.3,257710410.7,75999785.11,84826312.19,938779738.8,2067592818,763579000.3,,,287500000,359393278.8,273680000,,,,,145012560,347109528.7,,296600000,,,126700000,,204500000,2624000000,1102291012,,456018240.7,,,396479841.1,,694483338,,33879322.41,,,235119319.8,,1322357246,,62205960.25,,47194765.26,2746232000,,,,656061654,,,,57919838.08,211499993.3,91775237.75,818423631.5,27837772.98,932801344,,630826500,194422667.7,86817460.32,1082687378,,,,,26070001
1969,,1195033582,,,2000000041,,,,988170710.7,,,70874399.43,,216161616.2,,40662860.33,2454948720,,79074211.63,23004571.43,103286385,251576539.7,70699836.82,83474196.25,1178165030,1917296287,839120871.5,,,321300000,376645548.8,270680000,,,,,171949150.8,399077904.5,,299000000,,,138200000,,206200000,2356000000,1236196319,,517700708,,,409639835.8,,800896107.5,,34019319.61,,,244148323,,1356657520,,64625184.19,,47902196.01,3011216000,,,,687679083.1,,,,80592592.59,203299990.7,103099466.6,1023659527,28557715.38,916841663.2,,731327800,252995856.2,101253968.3,1080103339,,,,,27089999
